Date,Open,High,Low,Close
2007-02-01,1.3158365,1.3204827,1.3112164,1.3157995
2007-02-02,1.3141209,1.3187599,1.3095112,1.314086
2007-02-03,1.3134817,1.3181154,1.3088783,1.3134476
2007-02-04,1.3141484,1.3187817,1.3095435,1.314113
2007-02-05,1.3152575,1.3198926,1.3106482,1.3152206
2007-02-06,1.316896,1.3215379,1.3122768,1.3168573
2007-02-07,1.3183113,1.32296,1.3136822,1.3182708
2007-02-08,1.3184081,1.323059,1.3137774,1.3183678
2007-02-09,1.3178502,1.3225,1.3132224,1.317811
2007-02-10,1.3180501,1.3226969,1.3134238,1.3180106
2007-02-11,1.3195553,1.3242025,1.3149254,1.3195133
2007-02-12,1.3218592,1.3265102,1.3172197,1.3218142
2007-02-13,1.3252385,1.3299009,1.3205811,1.3251894
2007-02-14,1.3287083,1.3333862,1.324029,1.3286556
2007-02-15,1.3301411,1.3348252,1.3254527,1.3300868
2007-02-16,1.330307,1.3349904,1.325619,1.3302525
2007-02-17,1.3307431,1.3354287,1.3260523,1.3306881
2007-02-18,1.330704,1.3353904,1.326012,1.3306495
2007-02-19,1.3305937,1.3352804,1.3259014,1.3305386
2007-02-20,1.3305727,1.3352588,1.3258818,1.330518
2007-02-21,1.3306336,1.3353174,1.3259438,1.3305781
2007-02-22,1.3313221,1.3360065,1.3266302,1.3312658
2007-02-23,1.3329369,1.3376268,1.3282369,1.3328791
2007-02-24,1.3343296,1.3390236,1.3296232,1.3342705
2007-02-25,1.3352425,1.3399397,1.3305304,1.3351821
2007-02-26,1.3357339,1.3404346,1.3310169,1.3356724
2007-02-27,1.3359705,1.3406744,1.3312508,1.3359096
2007-02-28,1.335515,1.3402171,1.3307978,1.3354542
2007-03-01,1.3343345,1.3390329,1.3296236,1.3342751
2007-03-02,1.3331199,1.3378164,1.3284137,1.3330622
2007-03-03,1.332333,1.3370283,1.3276296,1.3322762
2007-03-04,1.3311154,1.335805,1.3264194,1.3310596
2007-03-05,1.3297259,1.3344086,1.3250396,1.3296719
2007-03-06,1.3296913,1.3343745,1.3250049,1.329638
2007-03-07,1.3301054,1.3347923,1.325415,1.3300514
2007-03-08,1.3296793,1.3343631,1.3249921,1.3296254
2007-03-09,1.3297113,1.3343922,1.3250278,1.3296578
2007-03-10,1.3310364,1.3357186,1.3263477,1.3309808
2007-03-11,1.3332564,1.3379443,1.3285574,1.3331981
2007-03-12,1.336167,1.3408625,1.3314537,1.3361048
2007-03-13,1.3391389,1.3438424,1.3344113,1.3390732
2007-03-14,1.3417906,1.3465025,1.3370495,1.3417218
2007-03-15,1.3441247,1.3488456,1.3393699,1.3440535
2007-03-16,1.345651,1.3503793,1.3408868,1.3455782
2007-03-17,1.3462065,1.3509357,1.3414396,1.3461329
2007-03-18,1.3467977,1.3515271,1.342029,1.3467232
2007-03-19,1.34718,1.3519111,1.342409,1.3471051
2007-03-20,1.3473378,1.3520722,1.3425634,1.3472629
2007-03-21,1.3471761,1.3519136,1.342399,1.3471011
2007-03-22,1.3458118,1.350545,1.3410422,1.345739
2007-03-23,1.3445683,1.3492935,1.3398091,1.3444967
2007-03-24,1.3447783,1.3495011,1.3400198,1.3447059
2007-03-25,1.3456645,1.3503903,1.3409015,1.345591
2007-03-26,1.3469547,1.351686,1.3421842,1.3468802
2007-03-27,1.347903,1.352637,1.3431271,1.3478272
2007-03-28,1.3481747,1.3529086,1.3433988,1.3480989
2007-03-29,1.3488795,1.3536149,1.3441006,1.3488024
2007-03-30,1.3496653,1.3544041,1.344881,1.3495872
2007-03-31,1.3499701,1.3547108,1.3451841,1.349892
2007-04-01,1.3502489,1.3549893,1.3454621,1.3501701
2007-04-02,1.3507369,1.3554772,1.345949,1.3506577
2007-04-03,1.3513236,1.3560644,1.3465333,1.3512431
2007-04-04,1.3521985,1.3569441,1.3474029,1.3521175
2007-04-05,1.3528234,1.3575732,1.3480216,1.3527416
2007-04-06,1.3524326,1.357181,1.3476341,1.3523515
2007-04-07,1.352358,1.3571032,1.3475617,1.3522766
2007-04-08,1.3532205,1.3579655,1.3484228,1.353138
2007-04-09,1.3552165,1.3599641,1.3504112,1.3551311
2007-04-10,1.3582293,1.362985,1.3534094,1.3581405
2007-04-11,1.361094,1.365858,1.3562604,1.361002
2007-04-12,1.3635688,1.3683411,1.3587223,1.3634738
2007-04-13,1.3654593,1.3702381,1.3606019,1.3653623
2007-04-14,1.3666869,1.371469,1.3618242,1.3665888
2007-04-15,1.3679578,1.3727428,1.363089,1.3678573
2007-04-16,1.3689907,1.3737769,1.3641175,1.3688889
2007-04-17,1.3700858,1.3748765,1.3652065,1.369983
2007-04-18,1.3710638,1.3758597,1.3661783,1.3709601
2007-04-19,1.3710774,1.3758739,1.3661909,1.3709741
2007-04-20,1.3707591,1.3755543,1.3658746,1.370656
2007-04-21,1.3708115,1.3756047,1.3659284,1.3707079
2007-04-22,1.371437,1.3762311,1.3665519,1.3713328
