Date,Open,High,Low,Close
2007-02-01,1.3035463,1.3081926,1.2989426,1.3035161
2007-02-02,1.3019134,1.3065518,1.2973206,1.3018852
2007-02-03,1.3013179,1.3059504,1.2967329,1.3012905
2007-02-04,1.3022488,1.3068819,1.2976611,1.3022202
2007-02-05,1.3035411,1.3081772,1.2989473,1.3035113
2007-02-06,1.3050197,1.3096629,1.3004155,1.3049877
2007-02-07,1.3062645,1.3109156,1.3016503,1.3062309
2007-02-08,1.3063178,1.3109705,1.3017013,1.3062841
2007-02-09,1.3057871,1.3104384,1.3011742,1.3057544
2007-02-10,1.3062409,1.3108896,1.3016288,1.3062074
2007-02-11,1.3082739,1.3129246,1.3036559,1.3082381
2007-02-12,1.3108906,1.3155478,1.3062608,1.3108517
2007-02-13,1.3140268,1.3186972,1.309377,1.313984
2007-02-14,1.3172649,1.3219525,1.3125918,1.3172185
2007-02-15,1.3186516,1.3233463,1.3139682,1.3186032
2007-02-16,1.3188533,1.3235472,1.3141696,1.3188049
2007-02-17,1.3192664,1.3239633,1.3145804,1.3192176
2007-02-18,1.3191835,1.3238814,1.3144963,1.3191348
2007-02-19,1.3191059,1.3238037,1.3144181,1.3190571
2007-02-20,1.3191931,1.3238902,1.3145063,1.3191442
2007-02-21,1.3193641,1.3240596,1.3146789,1.3193151
2007-02-22,1.3201126,1.3248093,1.3154242,1.3200629
2007-02-23,1.3217405,1.3264437,1.3170428,1.3216887
2007-02-24,1.323211,1.3279188,1.3185053,1.3231574
2007-02-25,1.3241813,1.3288933,1.3194695,1.3241266
2007-02-26,1.324584,1.3293,1.3198676,1.3245287
2007-02-27,1.3247188,1.3294374,1.3199992,1.3246635
2007-02-28,1.3242607,1.3289776,1.3195446,1.3242064
2007-03-01,1.3230577,1.32777,1.3183479,1.3230042
2007-03-02,1.3215284,1.3262373,1.3168252,1.3214772
2007-03-03,1.320733,1.3254405,1.3160336,1.3206825
2007-03-04,1.3197466,1.324448,1.3150549,1.319697
2007-03-05,1.3185412,1.3232346,1.3138592,1.318493
2007-03-06,1.3181676,1.3228606,1.3134863,1.3181198
2007-03-07,1.3185031,1.3232003,1.3138177,1.3184555
2007-03-08,1.3182478,1.322942,1.3135655,1.3181999
2007-03-09,1.3184916,1.3231828,1.3138125,1.3184438
2007-03-10,1.3199645,1.3246591,1.3152797,1.3199145
2007-03-11,1.3223974,1.3270992,1.3176999,1.3223448
2007-03-12,1.3255221,1.3302333,1.3208077,1.3254656
2007-03-13,1.3286605,1.3333824,1.3239291,1.3285999
2007-03-14,1.3312839,1.3360162,1.3265371,1.3312206
2007-03-15,1.3335145,1.3382576,1.3287523,1.3334482
2007-03-16,1.334904,1.3396554,1.3301313,1.3348367
2007-03-17,1.3355734,1.3403261,1.3307974,1.3355049
2007-03-18,1.3364143,1.3411679,1.3316362,1.3363453
2007-03-19,1.3368429,1.3415984,1.3320613,1.3367728
2007-03-20,1.3367734,1.3415321,1.3319883,1.3367031
2007-03-21,1.3363498,1.3411117,1.3315632,1.3362806
2007-03-22,1.3350825,1.3398389,1.3303039,1.3350147
2007-03-23,1.3340057,1.3387535,1.3292387,1.3339393
2007-03-24,1.3342981,1.3390439,1.3295319,1.3342314
2007-03-25,1.3352581,1.3400077,1.3304863,1.3351903
2007-03-26,1.3365263,1.3412821,1.3317461,1.3364569
2007-03-27,1.337521,1.3422806,1.3327343,1.3374499
2007-03-28,1.3379099,1.3426696,1.3331232,1.3378388
2007-03-29,1.3385576,1.343319,1.3337667,1.3384857
2007-03-30,1.3392899,1.3440559,1.3344939,1.3392174
2007-03-31,1.3394989,1.3442659,1.3347003,1.3394256
2007-04-01,1.3399652,1.3447334,1.3351657,1.3398918
2007-04-02,1.340646,1.3454138,1.3358445,1.3405715
2007-04-03,1.341312,1.3460817,1.3365073,1.3412365
2007-04-04,1.341957,1.3467311,1.3371468,1.3418807
2007-04-05,1.3424256,1.3472047,1.3376093,1.3423492
2007-04-06,1.342136,1.3469132,1.3373225,1.3420599
2007-04-07,1.3422068,1.3469812,1.3373961,1.342131
2007-04-08,1.3434166,1.3481911,1.3386023,1.3433385
2007-04-09,1.345741,1.3505206,1.3409171,1.3456607
2007-04-10,1.3488618,1.3536524,1.3440208,1.3487773
2007-04-11,1.3518487,1.35665,1.3469913,1.3517609
2007-04-12,1.3543513,1.3591623,1.3494782,1.3542604
2007-04-13,1.3562429,1.3610624,1.3513577,1.3561498
2007-04-14,1.3575832,1.3624068,1.3526907,1.3574884
2007-04-15,1.3590282,1.3638564,1.3541291,1.3589318
2007-04-16,1.3602372,1.3650682,1.3553319,1.3601394
2007-04-17,1.3611894,1.3660253,1.3562775,1.36109
2007-04-18,1.362067,1.3669076,1.3571479,1.3619663
2007-04-19,1.3620373,1.3668798,1.3571172,1.3619369
2007-04-20,1.3617744,1.3666152,1.3568568,1.3616747
2007-04-21,1.361952,1.3667904,1.3570359,1.361852
2007-04-22,1.3627276,1.3675679,1.3578081,1.3626266
2007-04-23,1.3634257,1.3682678,1.3585029,1.3633242
2007-04-24,1.3646764,1.3695235,1.359746,1.364573
2007-04-25,1.3655374,1.3703891,1.3606017,1.3654331
2007-04-26,1.3655076,1.3703585,1.3605721,1.3654032
2007-04-27,1.3658097,1.3706625,1.3608711,1.3657048
2007-04-28,1.3654824,1.3703368,1.3605437,1.3653783
2007-04-29,1.3642136,1.3690647,1.3592808,1.3641107
2007-04-30,1.3629375,1.3677855,1.3580098,1.3628361
2007-05-01,1.3617133,1.366556,1.3567936,1.3616134
2007-05-02,1.3606921,1.3655288,1.3557804,1.3605936
2007-05-03,1.3607544,1.3655897,1.3558445,1.3606558
2007-05-04,1.3608477,1.365684,1.3559368,1.3607492
2007-05-05,1.3606888,1.3655273,1.3557756,1.3605905
2007-05-06,1.3596593,1.3644974,1.3547487,1.3595623
2007-05-07,1.3578725,1.3627058,1.3529699,1.3577774
2007-05-08,1.3559426,1.3607677,1.3510525,1.3558502
2007-05-09,1.3548301,1.3596483,1.3499489,1.3547385
2007-05-10,1.3546861,1.3595011,1.3498085,1.354595
2007-05-11,1.3554997,1.3603156,1.3506191,1.3554074
2007-05-12,1.3568761,1.3616973,1.3519876,1.356782
2007-05-13,1.3571854,1.3620101,1.3522928,1.3570912
2007-05-14,1.3567992,1.361626,1.3519053,1.3567052
2007-05-15,1.356006,1.360832,1.351115,1.355913
2007-05-16,1.3547647,1.3595849,1.3498821,1.3546736
2007-05-17,1.3534254,1.3582386,1.3485525,1.3533356
2007-05-18,1.3526773,1.3574891,1.3478062,1.3525882
2007-05-19,1.351989,1.3568008,1.34712,1.3519012
2007-05-20,1.3507481,1.3555565,1.3458853,1.3506614
