Gmt time,"     Open","   High","   Low","   Close"," Open-target","High-target","Low-target","Close-taget"
"01.02.2007 ","1.30211","1.30482","1.30011","1.30123","1.30140","1.30615","1.29474","1.29580"
"02.02.2007 ","1.30140","1.30615","1.29474","1.29580","1.29580","1.29580","1.29580","1.29580"
"03.02.2007 ","1.29580","1.29580","1.29580","1.29580","1.29532","1.29646","1.29498","1.29582"
"04.02.2007 ","1.29532","1.29646","1.29498","1.29582","1.29597","1.29651","1.29126","1.29316"
"05.02.2007 ","1.29597","1.29651","1.29126","1.29316","1.29302","1.29904","1.29095","1.29802"
"06.02.2007 ","1.29302","1.29904","1.29095","1.29802","1.29820","1.30232","1.29647","1.30209"
"07.02.2007 ","1.29820","1.30232","1.29647","1.30209","1.30208","1.30428","1.29759","1.30343"
"08.02.2007 ","1.30208","1.30428","1.29759","1.30343","1.30359","1.30452","1.29817","1.30047"
"09.02.2007 ","1.30359","1.30452","1.29817","1.30047","1.30047","1.30047","1.30047","1.30047"
"10.02.2007 ","1.30047","1.30047","1.30047","1.30047","1.29899","1.30237","1.29830","1.30167"
"11.02.2007 ","1.29899","1.30237","1.29830","1.30167","1.30147","1.30359","1.29390","1.29560"
"12.02.2007 ","1.30147","1.30359","1.29390","1.29560","1.29546","1.30426","1.29498","1.30298"
"13.02.2007 ","1.29546","1.30426","1.29498","1.30298","1.30264","1.31488","1.30218","1.31368"
"14.02.2007 ","1.30264","1.31488","1.30218","1.31368","1.31346","1.31716","1.31173","1.31329"
"15.02.2007 ","1.31346","1.31716","1.31173","1.31329","1.31316","1.31443","1.30958","1.31356"
"16.02.2007 ","1.31316","1.31443","1.30958","1.31356","1.31356","1.31356","1.31356","1.31356"
"17.02.2007 ","1.31356","1.31356","1.31356","1.31356","1.31266","1.31621","1.31266","1.31465"
"18.02.2007 ","1.31266","1.31621","1.31266","1.31465","1.31462","1.31610","1.31201","1.31498"
"19.02.2007 ","1.31462","1.31610","1.31201","1.31498","1.31492","1.31881","1.31271","1.31460"
"20.02.2007 ","1.31492","1.31881","1.31271","1.31460","1.31434","1.31648","1.31116","1.31361"
"21.02.2007 ","1.31434","1.31648","1.31116","1.31361","1.31354","1.31404","1.30796","1.31212"
"22.02.2007 ","1.31354","1.31404","1.30796","1.31212","1.31227","1.31863","1.31013","1.31627"
